logFC	AveExpr	t	P.Value	adj.P.Val	B
HMGA2|8091	3.70851858395159	2.69145405306922	6.75540571051509	1.01596910665906e-10	1.6619222646729e-06	13.784951752097
IGDCC3|9543	3.64838997925915	-0.84713552928619	6.18917403495795	2.50118695496663e-09	4.09144162093442e-05	9.97292570602908
ACVR2B|93	1.21110110731782	4.01036872639499	5.96690151084061	8.34698320060381e-09	0.000136539951195477	9.68398930761768
MMP16|4325	2.33315624153915	-0.836016535984774	5.30377758521455	2.5206593618477e-07	0.00412329458411047	5.53175210589704
C17orf63|55731	0.782181638110773	5.68898119212002	5.28251107702281	2.7982001203085e-07	0.00457729575680065	6.49061152388042
ADAMTS7|11173	1.99370462481636	4.30065555419516	5.07518695125632	7.62168003000022e-07	0.0124675441930744	5.56681994859106
IGF2BP2|10644	3.29429802617595	2.97718097190574	4.92735720891518	1.52893015505822e-06	0.0250102394764423	4.92507925933533
FAM171B|165215	1.80194430393714	2.595711472822	4.85488141865257	2.1387256428585e-06	0.0349852740658794	4.56266603098662
MGAT5B|146664	2.87529008387531	-0.515969301391592	4.8340088288413	2.35414226935821e-06	0.0385090592421616	4.00408154473448
KIAA1324L|222223	2.28173143251237	1.77682958606842	4.7760328546378	3.06819908101874e-06	0.0501896005673046	4.20631205286932
TET3|200424	0.950753366495645	5.34880975705095	4.76143464486964	3.27859041358562e-06	0.0536311819854335	4.23059800239402
NDST2|8509	0.725267922856102	4.59628960320789	4.7515873557682	3.42830131680442e-06	0.0560801529402868	4.18393493115388
PCDHGB4|8641	2.58620368859831	-0.473201223109818	4.5828310541729	7.28852384786102e-06	0.119225673103311	3.03256865720412
SMURF2|64750	0.78949508635796	4.16240781098533	4.46959797340363	1.19490415355734e-05	0.19546242143891	3.04713836106589
UCP2|7351	-1.36479273674624	8.73129870879727	-4.44767565088431	1.31347282192265e-05	0.214857884210107	2.96355835473528
LATS2|26524	0.842282310204403	3.98632836097907	4.43653929030093	1.37795133522127e-05	0.225405279415495	2.91700484295784
ZNF521|25925	1.84619470362528	2.03100118914332	4.38290872628542	1.73340697980582e-05	0.283550713756636	2.66301157362798
ANKRD52|283373	0.915391847024106	5.97532402114031	4.38081492116236	1.74893101531886e-05	0.286090135485859	2.7025162336104
SFXN1|94081	0.776532547580826	5.02271104287281	4.35767351316782	1.92962806327826e-05	0.315648558591058	2.61516301283275
CDC23|8697	0.632545001813781	4.89901946012818	4.34385231150951	2.04594216663184e-05	0.334675219617637	2.56280510717729
FAM19A5|25817	2.05478219183072	2.32314794113303	4.25170181291309	3.01144775768202e-05	0.492612624201624	2.20574699569728
TET1|80312	1.2911159656244	2.03422356077617	4.25128894007478	3.01662436535689e-05	0.49345941368508	2.11910242022859
GDPD1|284161	1.23181859130474	0.458131470539235	4.2315549149064	3.2742166467215e-05	0.535596359070703	1.74624035788461
THBS4|7060	2.17850491257238	2.99092474156284	4.22632467410708	3.34593509251249e-05	0.547328062433193	2.12003220715129
ZBTB39|9880	0.918291026969714	3.2770909859706	4.21990127629682	3.43606953179202e-05	0.562072254010539	2.08408136341182
HIF1AN|55662	0.538680497203886	5.69107199436111	4.16485679476604	4.30953738123419e-05	0.704954124822289	1.88460360230499
PLAG1|5324	2.32435272962134	0.316411173938312	4.15918377325627	4.41074222376265e-05	0.721509212963094	1.68717866401066
AKAP10|11216	0.899739093044156	3.45725327918965	4.14990475732202	4.58118206785096e-05	0.749389762659061	1.83422497496587
PTPN4|5775	0.711260979031853	3.36387341978787	4.1413354533436	4.74415208570464e-05	0.776048398179565	1.79561176088941
PDE3B|5140	1.76157210517709	0.379571189731513	4.11619905736407	5.25470451362106e-05	0.859564564338133	1.43551168061942
GPR3|2827	1.71488811991194	0.419245891323327	4.11371177469561	5.30798002288835e-05	0.868279372144077	1.43855004104824
TBX3|6926	1.59396306065375	3.56413246920324	4.05708154359145	6.66985100614549e-05	1	1.50035907615294
C1QL4|338761	2.50617958319288	0.634580300938173	4.01697584849131	7.82908696361521e-05	1	1.28020374923454
GPC2|221914	1.76047889849023	1.24854022254118	4.00806992859872	8.11133227923135e-05	1	1.2328959079322
PHF19|26147	0.993033888241595	4.33193818359933	3.98859574504497	8.76258757028117e-05	1	1.2530912716613
KDM3A|55818	0.713866036966977	5.88413734400724	3.98093371340686	9.03220130776358e-05	1	1.2141251024697
COL9A3|1299	2.3408437833111	1.22358346598335	3.97740900754653	9.15886018949728e-05	1	1.18941687587648
CCNJL|79616	1.41451666994045	2.77677973734322	3.97332343667576	9.30778544406061e-05	1	1.20490760129235
LUZP1|7798	0.651128475881	4.86935629647638	3.95472706216102	0.00010015202381852	1	1.12977289821708
MTMR4|9110	0.665729912366493	5.27523357119051	3.95098736798785	0.000101634987638381	1	1.1116078274971
C5orf62|85027	1.15306740869122	3.4640697033117	3.93465845199023	0.000108357928140815	1	1.07151283156469
MAP2|4133	1.73003418041602	3.00268684723267	3.90428582514614	0.000122000800437045	1	0.966167849111204
SHROOM4|57477	0.862646732728082	3.54843653237734	3.90360505756673	0.000122324502501828	1	0.96487570849134
HR|55806	1.46296736117096	2.3399039994202	3.89819058478309	0.000124928221517927	1	0.935796416966232
KIF5C|3800	1.74562882631962	1.59304747976225	3.89354701458682	0.000127203010906066	1	0.886160881923868
FAM101B|359845	1.05650821638918	3.68654648679727	3.88913379960374	0.000129401312582011	1	0.912709478096131
TMEM100|55273	2.46341114376337	-0.428379579417155	3.88865866186698	0.000129640123324219	1	0.69998015070444
FIGN|55137	2.01698387370341	0.534484414715744	3.87491522211636	0.000136731384745762	1	0.727800681273862
CASC3|22794	0.671189273240989	6.63239777680469	3.86478126426685	0.000142194079697903	1	0.804944915616028
PCDHB3|56132	1.59158992090045	2.82525845285884	3.86372940003849	0.000142772783981349	1	0.828730974014968
FLT4|2324	1.09604216182609	3.34305306355925	3.85512153480801	0.000147593137979371	1	0.799086263272286
DCAF7|10238	0.594780057334014	7.00701132329731	3.84346129782311	0.000154369087637742	1	0.73204623052706
AFAP1L1|134265	0.994736993216105	2.45834938556358	3.82662410712508	0.000164675090533043	1	0.682454139997494
NR2F1|7025	1.53267397794702	3.43281809428785	3.82175664245721	0.00016777373259652	1	0.679778205186464
FLJ22536|401237	1.30770989810462	0.476615454066117	3.80337279968883	0.000179981935097559	1	0.412598486659503
RNMT|8731	0.65911121551285	5.09118569261004	3.79362737870283	0.000186789750584424	1	0.567101222975068
ANGPTL2|23452	1.24580027044901	4.95549070867059	3.7863748678843	0.000192013385267228	1	0.537863813521942
CD74|972	-1.7109888834106	11.2608237356349	-3.77525095200642	0.000200294558150715	1	0.510562923417217
CFB|629	-2.69620386738456	7.43097858434199	-3.77466217211476	0.000200742148217474	1	0.516361470839683
ZBTB34|403341	0.626742363083008	3.55266424979694	3.76484089481937	0.000208349115464263	1	0.496949721420342
ARSB|411	0.80862595427165	4.0106456292048	3.7632543558126	0.000209603220048303	1	0.482639352422874
TAOK1|57551	1.04595750575247	2.7386536641814	3.75205266460633	0.000218662854604355	1	0.450570110063566
HTR7P1|93164	1.00627964003	0.848749825737257	3.74341956712845	0.000225896136088144	1	0.247547684186861
SLPI|6590	-2.76839199588717	8.77695347137276	-3.73894253138337	0.000229735642009535	1	0.376381145880138
ZNF462|58499	1.39273617808512	3.59096254028444	3.73499037117384	0.000233176142828934	1	0.385539560436981
USP22|23326	0.671916187973791	7.9645962953387	3.72797946427114	0.000239399387374101	1	0.344499148993433
HCN2|610	1.76074585886038	-0.537409213191022	3.72167586902497	0.000245128331346241	1	0.0730786332352737
CCDC56|28958	-0.917021166231165	6.49707059591183	-3.71275200665044	0.000253460251525692	1	0.294509757173395
CHN1|1123	1.08099721035494	3.03136574309628	3.70965293775027	0.000256415741627521	1	0.31573942804895
MSL1|339287	0.704847325151563	6.10085771252213	3.70704189234228	0.000258931023862379	1	0.265967738422898
LOXL3|84695	1.09168749172881	2.32002086806467	3.70308106814216	0.000262791054980078	1	0.279379237571105
LOC202181|202181	1.220849942316	1.27320489557474	3.69903799752102	0.000266787176423679	1	0.185712143247908
LAMC1|3915	1.05612782131901	8.17441098868066	3.69384025703655	0.000272008791599668	1	0.234179791646645
MCOLN3|55283	2.1322057832925	0.784242348550936	3.68976474608	0.000276170270640942	1	0.199644779625683
DUSP12|11266	0.641927844140399	3.5861159533892	3.68503603412011	0.000281073948273507	1	0.234482426251009
BPTF|2186	0.763759882667766	5.93771510480674	3.67586790121393	0.000290816054290849	1	0.16212982190708
TMC7|79905	1.11247967166688	1.04892549742772	3.66846579509835	0.000298912852366331	1	0.0578159467882156
GPR137B|7107	0.947637744570961	3.27141564957813	3.65531094817057	0.000313828919404822	1	0.138664329566502
FBN2|2201	2.44029576612886	4.29582713346236	3.65164669578785	0.000318106955237967	1	0.0847683294816681
AKAP12|9590	1.65706943734813	4.20949229890363	3.64416004654577	0.000327018973119479	1	0.0669195822221074
BRWD3|254065	0.809040431796928	3.06060191904218	3.64221524128827	0.000329372219760788	1	0.0980862279021881
ST6GALNAC3|256435	1.64474254460054	0.451555139900698	3.64068041633281	0.000331240629862131	1	-0.0317861885670734
CHD7|55636	0.853291163212977	5.23550533301748	3.62763323691235	0.000347531372031778	1	0.00668262762823257
SPRED2|200734	0.77588886877846	5.16739016633937	3.60546156668026	0.000376956406366607	1	-0.0636460825492362
GPR126|57211	1.50131510651495	2.07525087381314	3.60441223784945	0.000378405497214706	1	-0.0260883545897324
PROS1|5627	1.14764880317894	2.91145114629149	3.60344596473626	0.000379744522122167	1	-0.0258499337974936
SHC2|25759	1.70300625345981	3.58448037181534	3.60129152623277	0.000382746121144672	1	-0.060609584104502
ARL4C|10123	1.4842689170638	5.64908374208535	3.5986320342793	0.000386482137172487	1	-0.0922764890481931
EIF4EBP2|1979	0.674354779435764	7.06691382921661	3.59587679402067	0.000390388802558321	1	-0.0989174368799466
SDC4|6385	-1.1235749830279	7.5847751998444	-3.5923313157034	0.000395470586376887	1	-0.112482706670219
ALDH2|217	-1.23299376406129	7.13543711051876	-3.59045839631909	0.000398180104419618	1	-0.113872406342487
JMJD1C|221037	0.803073730298335	5.07261019298827	3.58249063684001	0.000409903117528868	1	-0.137186558559664
MCART6|401612	1.33994403642379	0.0450089008169295	3.58049744946792	0.000412886012746569	1	-0.298699631742288
POMC|5443	2.00789869388191	0.293036378451037	3.57613492838777	0.000419486047687504	1	-0.205714118364881
HLA-DMA|3108	-1.80364336575751	6.20820950827797	-3.56980384143104	0.000429240819593313	1	-0.144266383656076
TTLL4|9654	0.603114284000099	4.78076359990087	3.56944582712278	0.000429798755010391	1	-0.170146953969362
SLCO4C1|353189	2.27284627878948	-1.85426628348759	3.55987046269102	0.00044497636587381	1	-0.481555188822272
ETV1|2115	1.41683672255765	2.69957358491562	3.55305390323054	0.000456086208204265	1	-0.185112243883577
TTC16|158248	-2.24394366856861	0.0194824598119572	-3.55265976005614	0.000456736493553092	1	-0.664980878487155
SYVN1|84447	-0.595980041845363	6.64133673740815	-3.55058465211396	0.000460174532868288	1	-0.244334005813471
RAPGEF5|9771	0.816479104149436	3.57513189761592	3.53973230367717	0.000478553940536654	1	-0.234563214679531
GJC1|10052	1.18456549632627	2.6870540231729	3.5363483253181	0.000484424454619629	1	-0.234919304225965
ARAP3|64411	1.03949831004222	4.76369185215881	3.53188082315642	0.000492278190225263	1	-0.299392606177085
BSCL2|26580	-0.715427318609076	7.52934666983565	-3.52147222030702	0.000511041989953416	1	-0.342170565139726
LOC100133545|100133545	2.77714971981975	-2.25064247537253	3.52116877415461	0.000511598951906005	1	-0.574034763998369
RHOBTB3|22836	1.59247199979918	3.5334511166155	3.48684058440998	0.000578414250592498	1	-0.421896181697884
MS4A14|84689	-1.83563082469404	-0.874377532768137	-3.48417869973399	0.000583922966136031	1	-0.87566020168033
RASA2|5922	1.07435599145951	1.13482739180375	3.48222358839898	0.000588000288269339	1	-0.481422038333354
C17orf76|388341	1.06900335254616	1.32519901130693	3.47405345684671	0.000605329091209208	1	-0.486495332746136
ZBTB26|57684	0.93721259471759	1.20371147791197	3.4674984214302	0.000619576789611291	1	-0.528910919916821
GPR98|84059	1.70874071451476	1.98037674871224	3.46659968194355	0.000621554538249863	1	-0.448649525623197
C9orf102|375748	1.01962352681052	0.968119473800482	3.46171586023513	0.000632405490141389	1	-0.56081338346512
C9orf5|23731	0.659807711823963	5.398005486273	3.45686208125266	0.000643365151306516	1	-0.541349148579574
PCDHGB6|56100	1.83249982362492	-0.025275016098323	3.45631805539707	0.000644604558242639	1	-0.596956793453233
BEGAIN|57596	1.80126991631573	-0.763210252384909	3.45582717637615	0.000645724802479655	1	-0.685543284847234
HECW2|57520	1.14798376221803	0.979204386715288	3.45451006837361	0.000648739607437308	1	-0.568080215650326
PCDHB12|56124	1.1483640077242	2.04569781255823	3.44819333447647	0.000663382269274724	1	-0.512411401941587
LEPREL2|10536	1.46110483564409	4.28325219180011	3.44722060194879	0.000665664418311645	1	-0.563820020910281
